Time,SER
0.0,0.6699
30.0,0.6583
60.0,0.5891
90.0,0.4568
120.0,0.198
150.0,0.0941
180.0,0.1193
210.0,0.231
240.0,0.3941
270.0,0.5192
300.0,0.6214
330.0,0.656
360.0,0.6699
390.0,0.6583
420.0,0.5891
450.0,0.4568
480.0,0.198
510.0,0.0941
540.0,0.1193
570.0,0.231
600.0,0.3941
630.0,0.5192
660.0,0.6214
690.0,0.656
720.0,0.6699
750.0,0.6583
780.0,0.5891
810.0,0.4568
840.0,0.198
870.0,0.0941
900.0,0.1193
930.0,0.231
960.0,0.3941
990.0,0.5192
1020.0,0.6214
1050.0,0.656
1080.0,0.6699
